"taxonobservation_id","observation_type","scrubbed_family","scrubbed_species_binomial","latitude","longitude","elevation_m","country","state_province","county","locality_description","plot_name","is_new_world","is_geovalid","event_date","date_collected","plot_sampling_protocol","identified_by","datasource","datasource_id","dataset","dataowner","custodial_institution_codes","collection_code","collector","collection_number","is_cultivated","nsr_native_status","nsr_is_introduced",
"38525936","specimen","Bignoniaceae","Chilopsis linearis","32.7550000000000026","-114.829999999999998","69","United States","California","Imperial","Sonoran Desert: east side of Algodones Sand Dunes, Pilot Knob Mesa, south side of I-8 at Ogilby Road Elev. given as 225 ft.","","1","1","","1977-12-11","","","GBIF","1092","CAS","CAS","CAS","BOT","J. Latting","","","P","0",
"38527284","specimen","Bignoniaceae","Chilopsis linearis","","","390.144000000000005","United States","California","Imperial County","5 miles west of Coyote Wells, Highway to San Diego","","1","","","1928-06-23","","","GBIF","1092","CAS","CAS","CAS","BOT","Carl B. Wolf","","","P","0",
"38532960","specimen","Bignoniaceae","Chilopsis linearis","34.583333333299997","-116.381666666699999","914.399999999999977","United States","California","San Bernardino","29 Palms Marine Corps Base, "Gays Pass" Artillery Range, just S of N boundary of range. Ca. 3.5 air km N of Gays Pass & 4.25 air km E of (& slightly S of) Argos Mountain","","1","1","","1991-07-24","","","GBIF","1092","CAS","CAS","CAS","BOT","B. Pitzer","","","P","0",
"38598814","specimen","Bignoniaceae","Chilopsis linearis","33.7482707193254967","-115.992549855093003","900","United States","California","Riverside","Toro Mts. San Jacinto reserve.","","1","","","","","","GBIF","272","US","US","US","Botany","J. Leiberg","","","P","0",
"38632807","specimen","Bignoniaceae","Chilopsis linearis","32.2999999999999972","-110.937799999999996","","United States","Arizona","Pima","Bed of Rillito River, north of Tucson. .","","1","1","","1903-05-01","","","GBIF","1087","Herbarium","Herbarium","Herbarium","ARIZ","J.J. Thornber","","","P","0",
"38641142","specimen","Bignoniaceae","Chilopsis linearis","","","396.240000000000009","United States","California","Riverside County","No. base of San Jacinto Mts. Snow Creek Canyon. 1 mi. below Fish Hatchery","","1","","","1932-05-25","","","GBIF","1092","CAS","CAS","CAS","DS","Carl B. Wolf","","","P","0",
"38708494","specimen","Bignoniaceae","Chilopsis linearis","","","","United States","Georgia","","Georgia","","1","","","","","","GBIF","102","USDA NRCS","USDA NRCS","USDA NRCS","USDA Plants","","","","P","0",
"38733701","specimen","Bignoniaceae","Chilopsis linearis","33.0315000000000012","-111.387900000000002","","United States","Arizona","Pinal","Florence. .","","1","1","","1892-06-01","","","GBIF","1087","Herbarium","Herbarium","Herbarium","ARIZ","J.W. Toumey","","","P","0",
"38752132","specimen","Bignoniaceae","Chilopsis linearis","34.7391999999999967","-112.009","","United States","Arizona","Yavapai","Cottonwood, AZ","","1","1","","","","","GBIF","397","ASU","ASU","ASU","ASUPlants","F. M. Svoboda","","","P","0",
"38792202","specimen","Bignoniaceae","Chilopsis linearis","31.6522000000000006","-108.847819999999999","1500","United States","New Mexico","Hidalgo","Diamond Ranch. Growing alongside Highway 338.","","1","1","","2007-06-01","","","GBIF","1087","Herbarium","Herbarium","Herbarium","ARIZ","R. M. Turner,  T. L. Burgess","","","P","0",
"38794414","specimen","Bignoniaceae","Chilopsis linearis","31.4170000000000016","-111.078999999999994","","United States","Arizona","Santa Cruz","1 1/2 mi W of AZ hwy 89 on Pena Blanca Road. .","","1","1","","1958-11-01","","","GBIF","1087","Herbarium","Herbarium","Herbarium","ARIZ","Van Tries","","","P","0",
"38822026","specimen","Bignoniaceae","Chilopsis linearis","31.9083299999999994","-109.140000000000001","","United States","Arizona","Cochise","Silver Creek near AVA Ranch (Portal). .","","1","1","","1964-07-01","","","GBIF","1087","Herbarium","Herbarium","Herbarium","ARIZ","R.J. Barr","","","P","0",
